domain,company_name,health_score,verdict,sector,total_signals,it_infrastructure_score,it_infrastructure_tier,it_infrastructure_budget,it_infrastructure_signals,engineering_product_score,engineering_product_tier,engineering_signals,sales_marketing_score,sales_marketing_tier,sales_marketing_signals,legal_compliance_score,legal_compliance_tier,legal_signals,hr_hiring_score,hr_hiring_signals,finance_revops_score,telecom_remote_score,corporate_dev_score,last_checked,trace_url
covergo.com,CoverGo,86,at_risk,general,18,100,Enterprise,Active,DMARC Fully Enforced | Verified SaaS Tooling | Modern CDN | Business Email Provider | Web Application Firewall,97,Enterprise,Rich Internal Infrastructure | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,95,Enterprise,Active Advertising | VC/Accelerator Mention (yc),90,Enterprise,Verified Vendor Spend,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=covergo.com
figma.com,Figma,86,at_risk,cloud_infra,16,100,Enterprise,Active,Verified SaaS Tooling | Enterprise CDN/WAF | DMARC Quarantine | Business Email Provider,100,Enterprise,High Shipping Velocity | App Recently Updated | Moderate Infrastructure Footprint | Public Status Page Active,81,Enterprise,IPO Signal (External Intel),99,Enterprise,ATS Integration Verified | Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=figma.com
inference.net,Inference,86,at_risk,general,19,100,Enterprise,Active,DMARC Quarantine | Verified SaaS Tooling | Modern CDN | Business Email Provider | Web Application Firewall,99,Enterprise,Rich Internal Infrastructure | Actively Shipping | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,97,Enterprise,Recent Funding (External Intel) | Active Advertising | Funding Velocity,75,Enterprise,Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=inference.net
dash0.com,Dash0,86,at_risk,general,17,100,Enterprise,Active,DMARC Quarantine | Verified SaaS Tooling | Modern CDN | Business Email Provider,98,Enterprise,High Shipping Velocity | Moderate Infrastructure Footprint | Public Status Page Active,88,Enterprise,Recent Funding (External Intel) | Funding Velocity,99,Enterprise,Verified Vendor Spend | SOC 2 Compliance | Basic Trust Center,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=dash0.com
ringcentral.com,RingCentral Inc,86,at_risk,general,20,100,Enterprise,Active,Verified SaaS Tooling | Enterprise Email Gateway | DMARC Fully Enforced | Modern CDN | Web Application Firewall,97,Enterprise,Rich Internal Infrastructure | App Recently Updated | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,75,Enterprise,Stock Data (RNG),99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance | HIPAA Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=ringcentral.com
ledger.com,Ledger,86,at_risk,general,16,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Modern CDN | Business Email Provider | Web Application Firewall,97,Enterprise,App Recently Updated | Moderate Infrastructure Footprint | Public Status Page Active,95,Enterprise,IPO Signal (External Intel) | Active Advertising,98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=ledger.com
routefusion.com,Routefusion,85,at_risk,general,16,100,Enterprise,Active,DMARC Quarantine | Verified SaaS Tooling | Modern CDN | Business Email Provider,93,Enterprise,Moderate Infrastructure Footprint | Public Status Page Active,97,Enterprise,Recent Funding (External Intel) | Active Advertising | Funding Velocity,90,Enterprise,Verified Vendor Spend,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=routefusion.com
foxglove.dev,Foxglove,85,at_risk,general,23,100,Enterprise,Active,DMARC Fully Enforced | Verified SaaS Tooling | Modern CDN | Business Email Provider | Web Application Firewall,91,Enterprise,Mature Engineering Infrastructure | Moderate Infrastructure Footprint | Public Status Page Active,94,Enterprise,Recent Funding (External Intel) | Active Advertising | Funding Velocity | SEC Form D (Private Fundraising) | Growth Analytics Stack,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=foxglove.dev
latentlabs.com,Latentlabs,85,at_risk,general,18,100,Enterprise,Active,DMARC Fully Enforced | Verified SaaS Tooling | Modern CDN | Business Email Provider | Web Application Firewall,95,Enterprise,Mature Engineering Infrastructure | Moderate Infrastructure Footprint | Public Status Page Active,97,Enterprise,Recent Funding (External Intel) | Active Advertising | Funding Velocity,90,Enterprise,Verified Vendor Spend,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=latentlabs.com
clinicalmind.com,ClinicalMind,85,actively_hiring,general,17,83,Enterprise,Active,Verified SaaS Tooling,71,Growth,Public Status Page Active,100,Enterprise,Stable URL Structure,90,Enterprise,Verified Vendor Spend,50,—,,100,100,2026-03-25,https://www.thesubspace.io/trace?domain=clinicalmind.com
bellringbrands.com,BellRing Brands,85,actively_hiring,general,19,100,Enterprise,Active,Enterprise Email Gateway | Enterprise Email Security Gateway | Verified SaaS Tooling,93,Enterprise,Rich Internal Infrastructure | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,100,Enterprise,Stable URL Structure,50,Growth,—,50,—,,100,100,2026-03-25,https://www.thesubspace.io/trace?domain=bellringbrands.com
averhealth.com,Avertest,85,at_risk,general,16,95,Enterprise,Active,DMARC Quarantine | Modern CDN | Business Email Provider | Web Application Firewall,97,Enterprise,App Recently Updated | Moderate Infrastructure Footprint | Public Status Page Active,95,Enterprise,IPO Signal (External Intel) | Active Advertising,98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=averhealth.com
arlo.com,Arlo Technologies Inc,85,at_risk,general,17,100,Enterprise,Active,Verified SaaS Tooling | Enterprise Email Gateway | DMARC Quarantine | Modern CDN | Web Application Firewall,89,Enterprise,Moderate Infrastructure Footprint | Public Status Page Active,97,Enterprise,Recent Funding (External Intel) | Active Advertising | Funding Velocity,75,Enterprise,Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=arlo.com
axon.com,Axon Enterprise,85,actively_hiring,general,16,100,Enterprise,Active,Verified SaaS Tooling | Enterprise Email Gateway | DMARC Fully Enforced | Enterprise Email Security Gateway,50,Growth,—,100,Enterprise,Stable URL Structure,92,Enterprise,Verified Vendor Spend,50,—,,100,100,2026-03-25,https://www.thesubspace.io/trace?domain=axon.com
on-running.com,On Holding Ltd,85,at_risk,general,18,95,Enterprise,Active,Verified SaaS Tooling | Modern CDN | Business Email Provider | Web Application Firewall,95,Enterprise,Rich Internal Infrastructure | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,95,Enterprise,IPO Signal (External Intel) | Active Advertising,98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=on-running.com
navan.com,Navan Inc,85,at_risk,general,17,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Modern CDN | Business Email Provider | Web Application Firewall,94,Enterprise,App Recently Updated | Moderate Infrastructure Footprint | Public Status Page Active,95,Enterprise,IPO Signal (External Intel) | Active Advertising,91,Enterprise,Comprehensive Trust Center | SOC 2 Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=navan.com
hextrust.com,Hex Trust,85,at_risk,general,18,100,Enterprise,Active,DMARC Quarantine | Verified SaaS Tooling | Modern CDN | Business Email Provider | Web Application Firewall,82,Enterprise,App Recently Updated,97,Enterprise,Recent Funding (External Intel) | Active Advertising | Funding Velocity | Rich Third-Party Integration,99,Enterprise,Verified Vendor Spend | SOC 2 Compliance | Basic Trust Center,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=hextrust.com
microsoft.com,Microsoft,85,at_risk,general,25,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Enterprise CDN/WAF | High Publish Velocity | Business Email Provider,96,Enterprise,Rich Internal Infrastructure | App Recently Updated,65,Growth,⚠ Stock Data (MSFT) | IPO Signal (External Intel) | Active Advertising | ⚠ Stock Below 200-Day SMA (MSFT) | Government Contracts (USAspending),61,Growth,Active H-1B Filer | ⚠ H-1B Filings Declining | Trust Page Present,94,Excellent Job Quality | Active Job Board,,,,2026-03-25,https://www.thesubspace.io/trace?domain=microsoft.com
equipmentshare.com,EquipmentShare,84,at_risk,general,15,95,Enterprise,Active,Verified SaaS Tooling | Enterprise CDN/WAF | Business Email Provider | Web Application Firewall,100,Enterprise,Rich Internal Infrastructure | App Recently Updated | Actively Shipping,95,Enterprise,Active Advertising | VC/Accelerator Mention (yc),50,Growth,—,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=equipmentshare.com
verabradley.com,Vera Bradley Inc,84,do_not_engage,general,33,98,Enterprise,Active,Verified SaaS Tooling | Enterprise Email Gateway | Enterprise Email Security Gateway | Mature Security Posture | Fast TTFB,93,Enterprise,Enterprise SSO (OpenID Connect) | Rich .well-known Configuration | Apple Pay Merchant Association | Mobile App Deep Linking (iOS + Android) | Moderate Infrastructure Footprint,38,Startup,Active Advertising | ⚠ High 404 Rate on Core Paths | ⚠ Pricing Page Redirected or Missing | Stable URL Structure | Rich Third-Party Integration,90,Enterprise,Verified Vendor Spend,50,—,100,100,100,2026-03-25,https://www.thesubspace.io/trace?domain=verabradley.com
accenture.com,Accenture,84,actively_hiring,general,37,100,Enterprise,Active,Verified SaaS Tooling | Enterprise Email Gateway | DMARC Fully Enforced | Enterprise Email Security Gateway | Enterprise CDN/WAF,96,Enterprise,Enterprise Vendor Stack | Enterprise Sales Tooling | App Recently Updated | Mobile App Deep Linking (iOS + Android) | Moderate Infrastructure Footprint,67,Growth,Global Presence (Hreflang) | ⚠ High Redirect Cascade | European Market Expansion | Asia-Pacific Market Expansion | ⚠ Pricing Page Redirected or Missing,61,Growth,Active H-1B Filer | ⚠ H-1B Filings Declining | Trust Page Present,50,—,100,100,100,2026-03-25,https://www.thesubspace.io/trace?domain=accenture.com
avionos.com,Avionos,84,actively_hiring,general,17,100,Enterprise,Active,Enterprise Email Gateway | DMARC Fully Enforced | Enterprise Email Security Gateway | Verified SaaS Tooling,50,Growth,—,100,Enterprise,Stable URL Structure,90,Enterprise,Verified Vendor Spend,50,—,,100,100,2026-03-25,https://www.thesubspace.io/trace?domain=avionos.com
shepherdinsurance.com,Shepherd,84,at_risk,general,19,94,Enterprise,Active,Verified SaaS Tooling | Modern CDN | Business Email Provider | Web Application Firewall,98,Enterprise,Rich Internal Infrastructure | App Recently Updated | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,94,Enterprise,Recent Funding (External Intel) | Funding Velocity | Growth Analytics Stack,50,Growth,—,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=shepherdinsurance.com
whiparound.com,Whip Around,84,at_risk,general,15,85,Enterprise,Active,Verified SaaS Tooling | Business Email Provider,88,Enterprise,Moderate Infrastructure Footprint,100,Enterprise,Heavy Ad Spend | Premium SaaS Stack | VC/Accelerator Mention (yc) | Growth Analytics Stack,98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=whiparound.com
olb.com,OLB Group Inc,84,actively_hiring,general,25,97,Enterprise,Active,Enterprise Email Gateway | Enterprise Email Security Gateway | Fast TTFB | Modern CDN | Verified SaaS Tooling,88,Enterprise,Rich Internal Infrastructure | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,100,Enterprise,Stable URL Structure,90,Enterprise,Verified Vendor Spend,50,—,50,100,100,2026-03-25,https://www.thesubspace.io/trace?domain=olb.com
beckerlogistics.com,Becker Logistics,84,actively_hiring,general,17,100,Enterprise,Active,Enterprise Email Gateway | DMARC Fully Enforced | Enterprise Email Security Gateway | Verified SaaS Tooling,50,Growth,—,100,Enterprise,Stable URL Structure,90,Enterprise,Verified Vendor Spend,50,—,,100,100,2026-03-25,https://www.thesubspace.io/trace?domain=beckerlogistics.com
dailywire.com,Bentkey Ventures,84,at_risk,general,17,100,Enterprise,Active,Verified SaaS Tooling | Enterprise CDN/WAF | DMARC Quarantine | Business Email Provider | Web Application Firewall,89,Enterprise,Moderate Infrastructure Footprint | Public Status Page Active,88,Enterprise,Recent Funding (External Intel) | Funding Velocity,98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=dailywire.com
rise.ph,Rise,84,at_risk,general,15,100,Enterprise,Active,DMARC Fully Enforced | Verified SaaS Tooling | Modern CDN | Business Email Provider | Web Application Firewall,95,Enterprise,App Recently Updated | Moderate Infrastructure Footprint,95,Enterprise,IPO Signal (External Intel) | Active Advertising,90,Enterprise,Verified Vendor Spend,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=rise.ph
firstround.com,Firstround,84,at_risk,general,15,100,Enterprise,Active,Verified SaaS Tooling | DMARC Quarantine | Modern CDN | Business Email Provider,95,Enterprise,App Recently Updated | Moderate Infrastructure Footprint,97,Enterprise,Recent Funding (External Intel) | Active Advertising | Funding Velocity,90,Enterprise,Verified Vendor Spend,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=firstround.com
myrtlegroup.com,Myrtle Consulting Group,84,actively_hiring,general,33,88,Enterprise,Active,DMARC Fully Enforced | Enterprise CDN/WAF | WAF Active | Mature Security Posture | Fast TTFB,97,Enterprise,Enterprise Vendor Stack | High Shipping Velocity | Rich .well-known Configuration | Enterprise Sales Tooling | Apple Pay Merchant Association,62,Growth,Global Presence (Hreflang) | ⚠ High Redirect Cascade | European Market Expansion | Asia-Pacific Market Expansion | ⚠ Pricing Page Redirected or Missing,75,Enterprise,Trust Page Present,50,—,100,100,100,2026-03-25,https://www.thesubspace.io/trace?domain=myrtlegroup.com
leaplegalsoftware.com,LEAP Legal Software,84,at_risk,general,16,100,Enterprise,Active,Verified SaaS Tooling | Enterprise Email Gateway | DMARC Fully Enforced | Modern CDN,88,Enterprise,App Recently Updated | Public Status Page Active,97,Enterprise,Recent Funding (External Intel) | Active Advertising | Funding Velocity,75,Enterprise,Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=leaplegalsoftware.com
bbgi.com,Beasley Broadcast Group Inc,84,actively_hiring,general,25,100,Enterprise,Active,Verified SaaS Tooling | Enterprise Email Gateway | Enterprise Email Security Gateway | DMARC Quarantine | Mature Security Posture,78,Enterprise,App Recently Updated | Public Status Page Active,100,Enterprise,Stable URL Structure,90,Enterprise,Verified Vendor Spend,50,—,50,100,100,2026-03-25,https://www.thesubspace.io/trace?domain=bbgi.com
posh.vip,Posh,84,at_risk,general,16,100,Enterprise,Active,Verified SaaS Tooling | Enterprise CDN/WAF | DMARC Quarantine | Business Email Provider | Web Application Firewall,100,Enterprise,App Recently Updated | Actively Shipping | Moderate Infrastructure Footprint,88,Enterprise,Recent Funding (External Intel) | Funding Velocity,75,Enterprise,Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=posh.vip
lightspark.com,Lightspark,84,at_risk,general,17,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Modern CDN | Business Email Provider,95,Enterprise,Mature Engineering Infrastructure | Moderate Infrastructure Footprint | Public Status Page Active,88,Enterprise,Recent Funding (External Intel) | Funding Velocity,90,Enterprise,Verified Vendor Spend,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=lightspark.com
boingo.com,Boingo Wireless,83,at_risk,general,18,100,Enterprise,Active,Verified SaaS Tooling | Enterprise Email Gateway | DMARC Fully Enforced | Enterprise CDN/WAF,99,Enterprise,Rich Internal Infrastructure | Actively Shipping | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,92,Enterprise,Active Advertising,99,Enterprise,ATS Integration Verified | Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=boingo.com
lilly.com,Eli Lilly and Co,83,at_risk,general,18,99,Enterprise,Active,Verified SaaS Tooling | Enterprise Email Gateway | DMARC Fully Enforced,95,Enterprise,SSO Infrastructure Detected | Moderate Infrastructure Footprint | Public Status Page Active,92,Enterprise,Government Contracts (USAspending) | SEC Public Filer,95,Enterprise,Verified Vendor Spend | Active H-1B Filer | H-1B Filings Growing,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=lilly.com
grifols.com,Grifols SA,83,at_risk,general,14,98,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Business Email Provider,95,Enterprise,App Recently Updated | Moderate Infrastructure Footprint,95,Enterprise,IPO Signal (External Intel) | Active Advertising,50,Growth,—,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=grifols.com
apify.com,Apify,83,at_risk,general,16,100,Enterprise,Active,DMARC Fully Enforced | Enterprise CDN/WAF | Verified SaaS Tooling | Business Email Provider,95,Enterprise,Mature Engineering Infrastructure | Moderate Infrastructure Footprint | Public Status Page Active,100,Enterprise,Premium SaaS Stack | Enterprise Analytics Stack | Active Advertising,98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=apify.com
appviewx.com,AppViewX,83,actively_hiring,general,19,100,Enterprise,Active,Verified SaaS Tooling | Enterprise Email Gateway | DMARC Fully Enforced | Enterprise Email Security Gateway | Fast TTFB,85,Enterprise,Moderate Infrastructure Footprint | Public Status Page Active,100,Enterprise,Stable URL Structure,99,Enterprise,Verified Vendor Spend | SOC 2 Compliance | Basic Trust Center,50,—,,50,100,2026-03-25,https://www.thesubspace.io/trace?domain=appviewx.com
legatics.com,Legatics,83,actively_hiring,general,20,100,Enterprise,Active,Verified SaaS Tooling | DMARC Quarantine | Business Email Provider | Enterprise Email Platform,93,Enterprise,Rich Internal Infrastructure | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,100,Enterprise,Stable URL Structure,90,Enterprise,Verified Vendor Spend,50,—,,100,50,2026-03-25,https://www.thesubspace.io/trace?domain=legatics.com
alt.com,Alt,83,actively_hiring,general,18,93,Enterprise,Active,DMARC Fully Enforced | Verified SaaS Tooling,95,Enterprise,Rich Internal Infrastructure | Mature Engineering Infrastructure | App Recently Updated | SSO Infrastructure Detected | Public Status Page Active,100,Enterprise,Stable URL Structure,90,Enterprise,Verified Vendor Spend,50,—,,50,100,2026-03-25,https://www.thesubspace.io/trace?domain=alt.com
retellai.com,Retell Ai,83,at_risk,general,17,100,Enterprise,Active,DMARC Fully Enforced | Verified SaaS Tooling | Modern CDN | Business Email Provider | Web Application Firewall,99,Enterprise,Actively Shipping | Mature Engineering Infrastructure | Moderate Infrastructure Footprint | Public Status Page Active,95,Enterprise,Heavy Ad Spend | Rich Third-Party Integration,98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=retellai.com
protegrity.com,Protegrity,83,at_risk,general,16,100,Enterprise,Active,Verified SaaS Tooling | Enterprise Email Gateway | DMARC Quarantine | Modern CDN | Web Application Firewall,88,Enterprise,Moderate Infrastructure Footprint,100,Enterprise,Premium SaaS Stack | Active Advertising | Growth Analytics Stack,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | HIPAA Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=protegrity.com
runway.com,Runway,83,at_risk,ai_ml,17,100,Enterprise,Active,Verified SaaS Tooling | DMARC Quarantine | Modern CDN | Business Email Provider | Web Application Firewall,100,Enterprise,App Recently Updated | Actively Shipping | Mature Engineering Infrastructure | Moderate Infrastructure Footprint | Public Status Page Active,92,Enterprise,Active Advertising,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=runway.com
chargepoint.com,ChargePoint,83,at_risk,climate_energy,18,100,Enterprise,Active,Verified SaaS Tooling | Enterprise CDN/WAF | DMARC Quarantine | Business Email Provider,98,Enterprise,Rich Internal Infrastructure | App Recently Updated | Mature Engineering Infrastructure | SSO Infrastructure Detected | Public Status Page Active,92,Enterprise,Active Advertising,99,Enterprise,ATS Integration Verified | Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=chargepoint.com
relevanceai.com,Relevanceai,83,at_risk,general,14,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Modern CDN | Business Email Provider,100,Enterprise,High Shipping Velocity | App Recently Updated | Moderate Infrastructure Footprint | Public Status Page Active,100,Enterprise,Active Advertising | Growth Analytics Stack,98,Enterprise,Verified Vendor Spend | Trust Page Present,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=relevanceai.com
cloudzero.com,CloudZero,83,at_risk,general,17,100,Enterprise,Active,Verified SaaS Tooling | DMARC Fully Enforced | Modern CDN | Business Email Provider | Web Application Firewall,99,Enterprise,Actively Shipping | Mature Engineering Infrastructure | Moderate Infrastructure Footprint | Public Status Page Active,92,Enterprise,Active Advertising,99,Enterprise,Verified Vendor Spend | Comprehensive Trust Center | SOC 2 Compliance,50,—,,,,2026-03-25,https://www.thesubspace.io/trace?domain=cloudzero.com
